Tag,EnglishName,EnglishText,GermanName,GermanText
IVPole,IV Pole,Intravenous poles or more commonly known as IV poles are iron rod stands having a pair of hooks at the top and a weighted rolling base with 4-5 wheels at the bottom of it. The hooks are used to hang bags of fluids and other life-saving drugs that are being transmitted to the patients as a part of their treatment procedure.,IV Pole,"IIV-Stangen sind Eisenstangen, die oben ein Paar Haken und unten eine beschwerte Rollbasis mit 4-5 Rädern haben. An den Haken werden Beutel mit Flüssigkeiten und benötigten Medikamenten aufgehängt, die den Patienten im Rahmen ihrer Behandlung verabreicht werden."
RespiratoryRate,Respiratory Rate,the respiratory rate is the rate at which breathing occurs. This is usually measured in breaths per minute and is set and controlled by the respiratory centre.,die Atemfrequenz,Die Atemfrequenz ist die Geschwindigkeit der Atmung. Sie wird normalerweise in Atemzügen pro Minute gemessen und vom Atemzentrum im Gehirn des Menschen gesteuert.
AbnormalRespitory,Abnormal respitory rates,"Apnea
Dyspnea
Hyperpnea
Tachypnea
Hypopnea
Bradypnea
Orthopnea
Platypnea
Biot's respiration
Cheyne-Stokes respiration
Kussmaul breathing",Abnorme Atemfrequenz,"Apnoe
Dyspnoe
Hyperpnoe
Tachypnoe
Hypopnoe
Bradypnoe
Orthopnoe
Platypnoe
Biot-Atmung
Cheyne-Stokes-Atmung
Kussmaul-Atmung"
OtherRespiratory,Other respiratory conditions,"stridor
nasal flaring
audible breathing
breathlessness 
fine crackels
wheezes pursed-lip breathing",Andere Atmungsabnormitäten,"Stridor
Nasenbläschen
hörbare Atmung
Kurzatmigkeit 
feines Knistern
Keuchen Atmen mit zusammengekniffenen Lippen"
Clouding,Clouding of consciousness,is a very mild form of altered mental status in which the patient has inattention and reduced wakefulness.,Bewusstseintrübung,"ist eine sehr milde Form des veränderten mentalen Status, bei der der Patient unaufmerksam und weniger wach ist."
Confusional ,Confusional state ,"is a more profound deficit that includes disorientation, bewilderment, and difficulty following commands.",Verwirrender Zustand ,"ist ein tiefgreifenderes Defizit, das Desorientierung, Verwirrung und Schwierigkeiten beim Befolgen von Befehlen beinhaltet."
Delirium,Delirium,is a state of mental confusion that develops quickly and usually fluctuates in intensity.,Delirium,"ist ein Zustand geistiger Verwirrung, der sich schnell entwickelt und normalerweise in seiner Intensität schwankt."
Lethargy,Lethargy,consists of severe drowsiness in which the patient can be aroused by moderate stimuli and then drift back to sleep.,Lethargie,"besteht in einer schweren Schläfrigkeit, bei der der Patient durch leichte Reize geweckt werden kann und dann wieder in den Schlaf fällt."
Obtundation,Obtundation,"is a state similar to lethargy in which the patient has a lessened interest in the environment, slowed responses to stimulation, and tends to sleep more than normal with drowsiness in between sleep states.",Obtundation,"ist ein Zustand, der der Lethargie ähnelt, bei dem der Patient ein vermindertes Interesse an der Umwelt zeigt, langsamer auf Reize reagiert und dazu neigt, mehr als normal zu schlafen, mit Schläfrigkeit zwischen den Schlafphasen."
Stupor,Stupor,"means that only vigorous and repeated stimuli will arouse the individual, and when left undisturbed, the patient will immediately lapse back to the unresponsive state.",Stupor,"bedeutet, dass die Person nur durch starke und wiederholte Reize geweckt werden kann, und dass der Patient, wenn er nicht gestört wird, sofort wieder in den nicht ansprechbaren Zustand zurückfällt."
Coma,Coma,is a state of unarousable unresponsiveness.,Koma,"ist ein Zustand, in dem man nicht ansprechbar ist."
