Character,Highlight,TimecodeEnglish,TextEnglish,TimecodeGerman,TextGerman
Tom,0,99,"I'm concerned it might be something like appendicitis, so I came to get it checked out. It's definitely not something I've experienced before.",122,"Ich befürchte, dass es eine Blinddarmentzündung sein könnte, also bin ich hierher gekommen, um es untersuchen zu lassen. Das ist definitiv nichts, was ich schon mal erlebt habe."
Ann,0,106,"Thank you. Mr Stevens. You will be taken care of right away. Please, sit still and try not to make any sudden movements.",132,"Ich danke Ihnen, Herr Stegmann. Man kümmert sich sofort um Sie. Bleiben Sie bitte auf Ihrem Platz und machen Sie keine plötzlichen Bewegungen."
Ann,0,118,"Now, I'll need to take your vital signs for our examination sheet.",144,Jetzt muss ich Ihre Vitaldaten für unseren Untersuchungsbogen aufnehmen.
Tom,0,123,Okay,150,Okay
Ann,0,125,Let's start with your blood pressure. ,153,Lass uns mit dem Blutdruck anfangen. 
Tom,0,129,Okay,156,Okay
Ann,0,130,Do you have any known issues or concerns related to your blood pressure?,158,Haben Sie irgendwelche bekannten Probleme oder Sorgen bezüglich Ihres Blutdrucks?
Tom,0,135,"No, not that I'm aware of.",164,"Nichts, dass ich wüsste"
Ann,0,138,"I'm going to measure your blood pressure now. Please extend your arm, palm up, and relax.",167,"Ich werde jetzt Ihren Blutdruck messen. Bitte strecken Sie Ihren Arm aus, Handfläche nach oben, und entspannen Sie sich."
ANIMATION,0,139,blood_pressure,168,blood_pressure
Ann,0,146,Your blood pressure is 136/80 mmHg. We'll keep an eye on that.,177,Ihr Blutdruck liegt bei 136 / 80 mm  Hg. Wir werden das im Auge behalten.
Tom,0,153,Alright,187,Alles klar. 
Ann,0,158,"Now, I'll check your heart rate. ",191,Jetzt werde ich Ihre Herzfrequenz messen.
Ann,1,162,Any history of heart conditions or irregular heartbeats?,196,Gab es in der Vergangenheit Herzerkrankungen oder unregelmäßigen Herzschlag?
Tom,0,167,No,203,Nein
Ann,0,169,"Okay, I'm going to check your heart rate now. Please stay still for a moment.",206,"Okay, ich werde jetzt Ihre Herzfrequenz messen. Bitte bleiben Sie einen Moment ruhig."
Ann,0,179,"Your heart rate is 96 beats per minute. It's slightly elevated, but that can be due to pain and stress.",215,"Ihre Herzfrequenz liegt bei 96 Schlägen pro Minute. Sie ist leicht erhöht, aber das kann durch Schmerzen und Stress verursacht sein."
Tom,0,187,Okay,225,Okay
Ann,0,192,"Next, I'll measure your respiratory rate. ",226,Als nächstes werde ich Ihre Atemfrequenz messen.
Ann,1,197,Have you experienced any shortness of breath or breathing difficulties lately?,231,Hatten Sie in letzter Zeit Kurzatmigkeit oder Schwierigkeiten beim Atmen?
Tom,0,202,"No, but it's a bit hard to breathe because of the pain.",237,"Nein, aber das Atmen fällt mir wegen der Schmerzen etwas schwer."
Ann,0,207,I'll observe your respiratory rate for a minute.,242,Ich werde kurz Ihre Atemfrequenz beobachten.
Ann,0,215,"Your respiratory rate is 20 breaths per minute. Again, this could be related to the pain.",250,Ihre Atemfrequenz liegt bei 20 Atemzügen pro Minute. Auch dies könnte mit den Schmerzen zusammenhängen.
Tom,0,223,"Yes, it hurts.",259,"Ja, das tut weh. "
Ann,0,227,"Now, let's check your temperature.",262,Jetzt messen wir Ihre Temperatur.
ANIMATION,0,228,temp,263,temp
Ann,0,230,Any recent fever or chills?,267,Hatten Sie in letzter Zeit Fieber oder Schüttelfrost? 
Tom,0,234,"No, I've been feeling fine in that regard.",272,"Nein, in dieser Hinsicht geht es mir gut."
Ann,0,238,"Your temperature is 36.5 degrees Celsius, which is normal.",277,"Ihre Temperatur liegt bei 36,5 Grad Celsius, was normal ist."
Tom,0,244,That's good to know.,284,Gut zu wissen.
Ann,0,248,"Finally, I'll measure your oxygen saturation.",287,Zum Schluss werde ich Ihre Sauerstoffsättigung messen.
Ann,0,253,Any history of lung problems or issues with oxygen levels?,292,Gab es in der Vergangenheit Lungen- oder Sauerstoffprobleme?
Tom,0,258,"No, I've never had any lung issues.",297,"Nein, ich hatte noch nie Lungenprobleme."
Ann,0,261,Great. I'll place this oxymeter on your finger to measure your oxygen saturation.,300,"Ich bringe Ihnen jetzt dieses Oximeter an den Finger an, um Ihre Sauerstoffsättigung zu messen."
ANIMATION,0,266,pulse,305,pulse
Ann,0,281,"Your oxygen saturation is 98%, which is excellent.",320,"Ihre Sauerstoffsättigung liegt bei 98 %, was hervorragend ist."
Tom,0,287,That's a relief.,327,Was für eine Erleichterung.
Ann,0,291,"Given your symptoms, we'll need to perform some additional tests. ",331,Angesichts Ihrer Symptome müssen wir einige zusätzliche Tests durchführen.
Ann,0,296,"First, we'll need a blood test to check for any signs of infection or inflammation. ",337," Zunächst benötigen wir eine Blutuntersuchung, um Anzeichen einer Infektion oder Entzündung festzustellen."
Ann,0,302,"Secondly, we'll schedule an urgent ultrasound to further evaluate your condition. ",344,"Zweitens werden wir eine dringende Ultraschalluntersuchung ansetzen, um Ihren Zustand weiter zu beurteilen."
Ann,0,308,Is that okay with you?,352,Ist das für Sie in Ordnung?
Tom,0,312,"Yes, that sounds necessary.",356,"Ja, das scheint notwendig zu sein."
Ann,0,316,I'll make sure these are scheduled for you,360,"Ich werde mich darum kümmern, dass Sie eingeplant werden. "
Ann,0,319,"If you have any more questions or concerns, please feel free to ask.",365,"Wenn Sie weitere Fragen oder Bedenken haben, stehen wir Ihnen gerne zur Verfügung. "
Tom,0,324,"Thank you, Ann. I appreciate your care and thoroughness.",372,"Vielen Dank, Frau Müller. Ich weiß Ihre Mühe und Sorgfalt zu schätzen."
